table,order,himpl,blen,cache_sz,cache_asso,Dr,D1mr,Dw,D1mw
32-32,12,f,1,32768,0,20483,313,4097,256
32-32,16,f,1,32768,0,327683,4153,65537,4096
32-32,20,f,1,32768,0,5242883,65593,1048577,65536
32-32,22,f,1,32768,0,20971523,262201,4194305,262144
64-64,12,b,1,16384,0,94215,1098,4101,512
64-64,12,b,1,16384,8,94215,1932,4101,512
64-64,12,b,1,32768,0,94215,737,4101,512
64-64,12,b,16,16384,0,94215,1188,4101,512
64-64,12,b,16,16384,8,94215,2096,4101,512
64-64,12,b,32,16384,0,94215,1435,4101,512
64-64,12,b,32,16384,8,94215,2547,4101,512
64-64,12,b,4,16384,0,94215,1096,4101,512
64-64,12,b,4,16384,8,94215,1937,4101,512
64-64,12,b,64,16384,0,94215,2036,4101,512
64-64,12,b,8,16384,0,94215,1098,4101,512
64-64,12,b,8,16384,8,94215,1941,4101,512
64-64,12,f,1,16384,0,36867,1094,4097,512
64-64,12,f,1,16384,8,36867,1922,4097,512
64-64,12,f,1,32768,0,36867,737,4097,512
64-64,16,b,1,16384,0,1507335,14378,65541,8192
64-64,16,b,1,16384,8,1507335,28139,65541,8192
64-64,16,b,1,32768,0,1507335,8417,65541,8192
64-64,16,b,16,16384,0,1507335,15753,65541,8192
64-64,16,b,16,16384,8,1507335,30863,65541,8192
64-64,16,b,32,16384,0,1507335,19673,65541,8192
64-64,16,b,32,16384,8,1507335,37938,65541,8192
64-64,16,b,4,16384,0,1507335,14375,65541,8192
64-64,16,b,4,16384,8,1507335,28213,65541,8192
64-64,16,b,64,16384,0,1507335,29894,65541,8192
64-64,16,b,8,16384,0,1507335,14419,65541,8192
64-64,16,b,8,16384,8,1507335,28321,65541,8192
64-64,16,f,1,16384,0,589827,14232,65537,8192
64-64,16,f,1,16384,8,589827,27889,65537,8192
64-64,16,f,1,32768,0,589827,8417,65537,8192
64-64,20,b,1,16384,0,24117255,227157,1048581,131072
64-64,20,b,1,16384,8,24117255,447486,1048581,131072
64-64,20,b,1,32768,0,24117255,131297,1048581,131072
64-64,20,b,16,16384,0,24117255,248845,1048581,131072
64-64,20,b,16,16384,8,24117255,489252,1048581,131072
64-64,20,b,32,16384,0,24117255,312000,1048581,131072
64-64,20,b,32,16384,8,24117255,605251,1048581,131072
64-64,20,b,4,16384,0,24117255,227177,1048581,131072
64-64,20,b,4,16384,8,24117255,448009,1048581,131072
64-64,20,b,64,16384,0,24117255,475182,1048581,131072
64-64,20,b,8,16384,0,24117255,227401,1048581,131072
64-64,20,b,8,16384,8,24117255,449823,1048581,131072
64-64,20,f,1,16384,0,9437187,225000,1048577,131072
64-64,20,f,1,16384,8,9437187,443412,1048577,131072
64-64,20,f,1,32768,0,9437187,131297,1048577,131072
64-64,22,b,1,16384,0,96468999,907118,4194309,524288
64-64,22,b,1,16384,8,96468999,1789766,4194309,524288
64-64,22,b,1,32768,0,96468999,524513,4194309,524288
64-64,22,b,16,16384,0,96468999,993913,4194309,524288
64-64,22,b,16,16384,8,96468999,1957764,4194309,524288
64-64,22,b,32,16384,0,96468999,1246259,4194309,524288
64-64,22,b,32,16384,8,96468999,2419924,4194309,524288
64-64,22,b,4,16384,0,96468999,907252,4194309,524288
64-64,22,b,4,16384,8,96468999,1791793,4194309,524288
64-64,22,b,64,16384,0,96468999,1898119,4194309,524288
64-64,22,b,8,16384,0,96468999,908137,4194309,524288
64-64,22,b,8,16384,8,96468999,1799128,4194309,524288
64-64,22,f,1,16384,0,37748739,898677,4194305,524288
64-64,22,f,1,16384,8,37748739,1773482,4194305,524288
64-64,22,f,1,32768,0,37748739,524513,4194305,524288
